Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
45666;789,77;274,8633573;211,8851392;1,297228104;0,636987114;46074;241,1301662;0,748377581;0,99114468;0,920029115;0,87727287;0,006018994;0,002199087;0,769607688;0,998356721;CALI
55722;897,584;318,9323359;225,0086389;1,417422626;0,708704064;56736;266,3596327;0,779274177;0,98212775;0,869133231;0,835160323;0,005723634;0,001717636;0,697492765;0,988642027;CALI
55938;909,933;347,2764794;205,5303842;1,689660051;0,806059118;56664;266,8753897;0,73155995;0,987187632;0,848980993;0,768481039;0,006208239;0,001335614;0,590563108;0,99785089;CALI
56270;920,481;374,09942;194,0923458;1,927430052;0,854880123;57445;267,6661898;0,766621253;0,979545652;0,834559148;0,7154948;0,006648293;0,001074771;0,511932809;0,986714681;CALI
56675;898,464;344,9441908;210,2250507;1,640832953;0,79282715;57180;268,6277186;0,753977756;0,991168241;0,882266994;0,778757045;0,006086355;0,001380845;0,606462534;0,995103711;CALI
56679;911,133;355,9458366;204,8914494;1,73724105;0,817713549;57531;268,637198;0,810301939;0,985190593;0,857962864;0,754713696;0,00628003;0,001256812;0,569592763;0,98951993;CALI
56834;910,081;341,5703246;212,3913014;1,608212401;0,783169393;57509;269,0042682;0,806453444;0,988262707;0,862299217;0,787551637;0,006009965;0,001426159;0,62023758;0,997473768;CALI
58102;907,665;334,8035816;223,8662565;1,495551794;0,743577709;58986;271,9885366;0,805294525;0,985013393;0,886236776;0,812382398;0,005762342;0,001548178;0,659965161;0,987012081;CALI
59338;940,712;352,1829755;215,7836786;1,632111278;0,790313002;59999;274,8663095;0,793076717;0,98898315;0,842615415;0,780464499;0,005935201;0,0013584;0,609124834;0,994159511;CALI
59652;964,522;378,7807886;204,0263776;1,856528519;0,842536203;61244;275,5926075;0,765721474;0,974005617;0,805769078;0,727578103;0,006349842;0,001097643;0,529369896;0,982790308;CALI
60633;957,86;365,2227575;212,5224049;1,718514138;0,813261752;61556;277,8494796;0,705773484;0,985005523;0,830452593;0,760767159;0,006023498;0,001244617;0,57876667;0,994618705;CALI
61105;962,336;366,6975351;213,6564854;1,716294895;0,812722861;61842;278,9288482;0,674604489;0,988082533;0,829150081;0,760651004;0,006001105;0,001239232;0,57858995;0,993030977;CALI
61129;964,969;369,3481688;210,9473449;1,750902193;0,820856751;61796;278,9836198;0,750113507;0,989206421;0,824955328;0,755340471;0,00604211;0,00121322;0,570539227;0,998958384;CALI
61204;953,807;376,0897293;208,6121823;1,802817674;0,832058917;61712;279,1547118;0,767150073;0,991768214;0,84541249;0,742255611;0,006144855;0,00115055;0,550943392;0,993250484;CALI
61422;968,493;363,9807572;216,3316136;1,682513023;0,804207199;62310;279,6514247;0,712949206;0,985748676;0,82288822;0,768313762;0,005925902;0,001273763;0,590306036;0,993197594;CALI
61464;948,743;361,5067374;217,5064023;1,662051018;0,798747599;62161;279,7470203;0,789518304;0,988787182;0,858091332;0,773836256;0,005881601;0,001300983;0,598822552;0,995273632;CALI
61944;955,718;361,9657801;219,9610851;1,645590082;0,794178345;62873;280,8372311;0,70713136;0,985224182;0,852215795;0,775866799;0,005843436;0,001306161;0,60196929;0,990594693;CALI
62114;961,586;360,3624473;220,2068869;1,636472194;0,791576121;62796;281,2223339;0,768357249;0,989139436;0,844156752;0,780387457;0,00580163;0,001327306;0,609004583;0,996619067;CALI
62128;937,54;354,1882333;224,6542455;1,576592655;0,773104028;62849;281,2540247;0,735817325;0,988528059;0,888214023;0,794080656;0,005700944;0,001398251;0,630564089;0,994142711;CALI
